|Raison Sociale|Adresses|Telephone
311|Garcin dominique|R jean baptiste garcin 38430 SAINT JEAN DE MOIRANS|04 76 35 01 98
312|Les clés du lac|7 av marlioz 73100 AIX LES BAINS|04 79 54 01 79
313|Opening|3 imp sablon 38300 BOURGOIN JALLIEU|07 71 86 00 51
314|Cstg developpement|78 rte ruisset 38360 NOYAREY|04 38 86 21 81
315|Serrurier 2 savoies|1365 bd lepic 73100 AIX LES BAINS|07 82 59 53 17
316|S.e serrurerie perrin|32 r jacquard 38100 GRENOBLE|04 76 68 13 09
317|Eric besson|68 av république 38130 ECHIROLLES|04 38 49 96 40
318|Sas bat metal soudure|3 lot allées des gabettes 26140 SAINT RAMBERT D'ALBON|06 71 08 63 63
319|Alp'serrurerie|386 r concorde 73490 LA RAVOIRE|06 67 74 93 05
320|A.c.m.t.s atelier constructions métalliques tôlerie serrurerie|24 r commdt lenoir 38600 FONTAINE|09 82 26 54 18
321|Allo serrurier assistance|5 all platanes 69200 VÉNISSIEUX|06 18 30 31 15
322|Depan' serrure vitrerie 42|18 r galliéni 42400 SAINT CHAMOND|06 16 93 69 34
323|Serrurerie vivier|23 r sources 69540 IRIGNY|04 78 50 25 19
324|Hoori protection incendie|370 bd balmont 69009 LYON|04 78 25 05 34
325|C3sam|4 av joannes hubert 69160 TASSIN LA DEMI LUNE|06 61 11 89 24
326|A3 serrurier|Rte grenoble 38420 DOMÈNE|06 86 65 12 97
327|Poly services|79 av patinière 38500 VOIRON|04 76 65 96 13
328|Elite artisan|21 bis av frères montgolfier 69680 CHASSIEU|07 78 07 15 75
329|Dup métal|Parc activités du planil 42410 PÉLUSSIN|04 74 87 31 92
330|Crebassa thierry|153 rte departementale 1086 42410 CHAVANAY|04 74 87 23 28
331|R metal concept|6 all henri matisse 38500 LA BUISSE|06 62 10 65 09
332|Constructions soudées lyonnaises csl|Chem chaudanne 69290 GRÉZIEU LA VARENNE|04 78 57 09 69
333|La clef d'or|10 pl halle 42400 SAINT CHAMOND|04 77 31 61 46
334|As security|7 chem grand bois 69120 VAULX EN VELIN|07 81 50 72 48
335|Lyon service|63 r garibaldi 69006 LYON|04 28 29 49 93
336|Brosse frères|3 imp louise michel 38630 AVENIÈRES VEYRINS THUELLIN (LES)|04 74 33 75 58
337|Jn compi sarl|Rte barthélemy de laffemas 26240 BEAUSEMBLANT|04 75 23 53 90
338|Metallerie des vallons|202 rte garenne 38110 ROCHETOIRIN|06 63 33 33 51
339|Acampora françois - métallerie soudure|205 r sallmard 26380 PEYRINS|06 06 93 27 27
340|Métallerie varvat|263 r hauterive 73360 LES ECHELLES|04 79 36 50 90
341|B l t e|14 chem violettes 38280 VILLETTE D'ANTHON|06 59 20 16 97
342|Dup métal|Parc activités du planil 42410 PÉLUSSIN|04 74 87 31 92
343|Lpb la porte blindée|53 d r pierre sémard 38000 GRENOBLE|04 76 09 85 77
344|Orcel jérôme|Imp gare 38630 AVENIÈRES VEYRINS THUELLIN (LES)|06 82 35 17 91
345|Eynard et fils sarl|Le bourg 42520 ROISEY|04 74 87 47 02
346|Gomes josé|Av chartreuse 73360 LES ECHELLES|04 79 36 55 14
347|Hodeco serrurerie|7 ter r pierre dupont 69660 COLLONGES AU MONT D'OR|04 78 35 19 45
348|Stci|12 av forez 07100 SAINT MARCEL LÈS ANNONAY|06 06 59 30 78
349|Metallerie du bugey|84 chem source 01300 ARBOYS EN BUGEY|06 75 57 68 68
350|Bonnard frères serrurerie|65 chem gau 38250 LANS EN VERCORS|04 76 95 11 36
351|Fermetures georges|1 all oiseaux 69720 SAINT BONNET DE MURE|04 78 40 99 14
352|Mét'alu sarl|13 r cuche 38113 VEUREY VOROIZE|04 76 53 87 13
353|As security|7 chem grand bois 69120 VAULX EN VELIN|07 81 50 72 48
354|Ajust|32 r emile romanet 38090 VILLEFONTAINE|06 79 66 66 26
355|Constructions soudées lyonnaises csl|Chem chaudanne 69290 GRÉZIEU LA VARENNE|04 78 57 09 69
356|Groom serrurier|320 av berthelot 69008 LYON|06 17 56 26 97
357|Drumetal sarl|130 rte peisse 73420 DRUMETTAZ CLARAFOND|04 79 34 27 76
358|A3 serrurier|Rte grenoble 38420 DOMÈNE|06 86 65 12 97
359|Mét'alu sarl|13 r cuche 38113 VEUREY VOROIZE|04 76 53 87 13
360|Depann&moi|54 r paul verlaine 69100 VILLEURBANNE|06 03 36 19 13
361|Depan' serrure vitrerie 42|18 r galliéni 42400 SAINT CHAMOND|06 16 93 69 34
362|Bps|30 bis r giraudière 69530 BRIGNAIS|06 49 32 40 97
363|Amde|265 r barlière 38960 SAINT ETIENNE DE CROSSEY|06 19 04 09 69
364|Metallerie des vallons|202 rte garenne 38110 ROCHETOIRIN|06 63 33 33 51
365|Elite artisan|21 bis av frères montgolfier 69680 CHASSIEU|07 78 07 15 75
366|Bourjal eric sarl|122 r petite charrière 38730 VIRIEU SUR BOURBRE|06 85 66 12 89
367|Constructions soudées lyonnaises csl|Chem chaudanne 69290 GRÉZIEU LA VARENNE|04 78 57 09 69
368|Jn compi sarl|Rte barthélemy de laffemas 26240 BEAUSEMBLANT|04 75 23 53 90
369|Vercors serrurerie metallerie|387 rte plaine 38160 SAINT ROMANS|04 76 36 11 90
370|Ferronnerie goubetoise|Lieu-dit part dieu 26300 CHATUZANGE LE GOUBET|04 75 47 24 15
371|Métallerie serrurerie bruno piladelli|735 r albert pietri 38250 VILLARD DE LANS|06 16 75 40 40
372|Pettini chaudronnerie|35 zi grives 74150 MARIGNY SAINT MARCEL|04 50 64 63 13
373|Metallerie du bugey|84 chem source 01300 ARBOYS EN BUGEY|06 75 57 68 68
374|Point fort fichet pms concessionnaire|30 r michel servet 69100 VILLEURBANNE|04 78 85 10 38
375|Neri vincent|28 r rené cassin 69740 GENAS|07 62 88 75 47
376|Neri vincent|28 r rené cassin 69740 GENAS|07 62 88 75 47
377|Concept industrie artisan|57 av la république 38320 EYBENS|06 12 28 40 01
378|Dépan' express habitat|155 cours berriat 38000 GRENOBLE|06 79 51 63 26
379|Ets marchand|10 r chambfort 69100 VILLEURBANNE|07 63 31 41 41
380|Point fort fichet pms concessionnaire|30 r michel servet 69100 VILLEURBANNE|04 78 85 10 38
381|Sportes kévin|118 r dedieu 69100 VILLEURBANNE|06 26 63 94 00
382|Morel nicolas|6 r poterne 07100 ANNONAY|07 81 17 21 27
383|Conception lionel villard|2 chem des sapins 42320 SAINT CHRISTO EN JAREZ|06 75 49 74 04
384|Ingrao sarl|18 r béarn 42800 RIVE DE GIER|06 58 72 67 92
385|Serrurerie de l'ouest lyonnais|17 r chinard 69009 LYON|06 69 34 60 12
386|Max modern steel|515 chem feuges 38260 LA CÔTE SAINT ANDRÉ|04 74 31 60 63
387|Jeannon métallerie|37 r thonnevirieux 42320 FARNAY|04 77 73 47 82
388|Coffre fort guillaudin dauphiné fermeture|1 bd gambetta 38000 GRENOBLE|04 76 46 68 47
389|Auris service|Imm etendard 38142 AURIS EN OISANS|04 76 11 37 50
390|Société française ornements métalliques|158 av francis de pressensé 69200 VÉNISSIEUX|04 78 69 14 76
391|Reus et fils sarl|195 chem ravat 38200 VIENNE|04 74 87 96 47
392|Métalliance industrie|12 r léon blum 69320 FEYZIN|04 72 89 04 89
393|Aph alpes protec habitat|111 r liberté 38180 SEYSSINS|04 76 09 01 55
394|Muret métal concept|190 rte cormes 07290 ARDOIX|04 75 34 42 34
395|Aven|4 r léon blum 69320 FEYZIN|04 78 82 40 06
396|Metallerie cmcb|18 bis r vorlat 69290 SAINT GENIS LES OLLIÈRES|09 67 48 40 77
397|Sylvain rodriguez eurl|86 r alexandre dumas 69120 VAULX EN VELIN|06 22 91 12 45
398|Joinin métal creation|1 pl colonel fabien 69700 GIVORS|06 61 76 95 02
399|Dépann'urgence|16 r sébastien gryphe 69007 LYON|04 78 58 85 47
400|2md menuiseries|56 r république 69310 PIERRE BÉNITE|04 78 86 91 68
401|Jacm|188 chem biesset 38540 VALENCIN|06 01 73 90 83
402|Atamultiservices|31 cours tolstoï 69100 VILLEURBANNE|07 83 93 37 98
403|Fauveau marcel|Chem roseaux 69270 FONTAINES SAINT MARTIN|04 78 22 26 20
404|Serrurerie métallerie taillez|16 all pressoir 74150 RUMILLY|06 16 94 33 43
405|A2+dépannage|11 r emeraudes 69006 LYON|04 82 53 83 78
406|Plasse pmg|15 r roger salengro 69740 GENAS|04 78 20 14 91
407|S e c a t r a|4 imp monge 69330 MEYZIEU|04 78 20 31 06
408|Metalsphere|265 rte huires 73160 SAINT CASSIN|06 51 16 17 18
409|Alpes serrures|25 r résistants 38400 SAINT MARTIN D'HÈRES|06 99 08 88 89
410|Car serrurerie cook and roule|451 rte charamel 38290 FRONTONAS|06 80 16 46 40
411|Dep'lacour|232 rte marjon 69510 SOUCIEU EN JARREST|04 72 31 76 79
412|Access 2b|4 r jules ferry 69360 SAINT SYMPHORIEN D'OZON|07 68 99 84 82
413|Reseau assistance|17 r jean jaurès 69100 VILLEURBANNE|04 37 66 47 04
414|Sampaio|8 r macchabées 69005 LYON|04 78 25 37 16
415|Masfer|9 r traité de rome 69780 MIONS|04 78 20 32 30
416|A2c|117 r créqui 69006 LYON|04 78 17 24 24
417|Debroux (sarl)|11 r crets de viry 74540 ALBY SUR CHÉRAN|04 50 68 11 59
418|Dépann'urgence|16 r sébastien gryphe 69007 LYON|04 78 58 85 47
419|Steel metal|111 r marais 38660 LUMBIN|06 95 41 26 16
420|S.m.j|8 r claude bruyas 42800 SAINT MARTIN LA PLAINE|04 77 92 65 44
421|Concept-inox|Le biais 38070 SAINT QUENTIN FALLAVIER|07 82 97 82 41
422|Rauze ets|Fiatet 69210 SAIN BEL|04 74 01 26 26
423|Cométal serrures|5 imp charvet 38600 FONTAINE|04 76 96 97 28
424|A2b savoie|398 rte col de l'epine 73470 NOVALAISE|04 79 36 10 92
425|Chanard-fsra|4 r marius berliet 69720 SAINT BONNET DE MURE|04 78 40 80 32
426|L'art du fer des alpes|1540 rte valence 38160 SAINT ROMANS|04 76 38 64 95
427|Metal work|Le haut marjon 69510 SOUCIEU EN JARREST|04 72 40 21 44
428|Jacm|188 chem biesset 38540 VALENCIN|06 01 73 90 83
429|Atlan habitat|19 r notre dame 69006 LYON|06 29 62 42 52
430|F.m.c alu|21 chem chiradie 69530 BRIGNAIS|04 78 05 17 99
431|Alpes serrures|25 r résistants 38400 SAINT MARTIN D'HÈRES|06 99 08 88 89
432|S2mr|10 r marc seguin 69740 GENAS|06 24 21 92 93
433|Serrurerie massot|8 r myosotis 69110 SAINTE FOY LÈS LYON|04 78 59 64 57
434|Lobligeois florent|2 bis chem neuf 01800 SAINT MAURICE DE GOURDANS|07 86 25 41 95
435|Métallerie industrielle giraud m.i.g-sa|30 zone artisanale bruyères 38150 AGNIN|04 74 84 02 80
436|Tochon alexy|321 r doct gasca 73290 LA MOTTE SERVOLEX|07 71 17 63 04
437|Cool depannage|5 r joseph bouchayer 38100 GRENOBLE|04 76 48 68 15
438|Muret métal concept|190 rte cormes 07290 ARDOIX|04 75 34 42 34
439|Fontaine serrurerie|84 r progrès 38170 SEYSSINET PARISET|04 76 48 38 85
440|3 s schont serrurerie service|20 r maison forte 38460 VILLEMOIRIEU|07 69 98 39 99
441|Dep'lacour|232 rte marjon 69510 SOUCIEU EN JARREST|04 72 31 76 79
442|L'art du fer des alpes|1540 rte valence 38160 SAINT ROMANS|04 76 38 64 95
443|Concept acier|610 rte ecole 38470 SAINT GERVAIS|06 47 82 88 84
444|C.i.s.m|10 imp charvet 38600 FONTAINE|04 76 21 74 73
445|Aph alpes protec habitat|111 r liberté 38180 SEYSSINS|04 76 09 01 55
446|Saunier - plumaz et fils|268 chem champs elysées 38660 LA TERRASSE|04 76 96 41 42
447|Reseau assistance|17 r jean jaurès 69100 VILLEURBANNE|04 37 66 47 04
448|Diagonale|Chem rosette 69440 TALUYERS|04 78 48 39 79
449|Expert serrurerie|6 r milieu 69003 LYON|06 01 03 38 18
450|Prod'alu 38|65 chem plateau 38270 BEAUREPAIRE|04 74 84 63 56
451|Fontaine serrurerie|84 r progrès 38170 SEYSSINET PARISET|04 76 48 38 85
452|Decor inox a . a . m . sarl|11 r nant bore 74540 ALBY SUR CHÉRAN|04 50 68 18 23
453|Bazille serrurerie|680 rte genève 01700 BEYNOST|07 83 94 39 39
454|Auris service|Imm etendard 38142 AURIS EN OISANS|04 76 11 37 50
455|Muret métal concept|190 rte cormes 07290 ARDOIX|04 75 34 42 34
456|A2b savoie|398 rte col de l'epine 73470 NOVALAISE|04 79 36 10 92
457|Expert serrurerie|6 r milieu 69003 LYON|06 01 03 38 18
458|Dep'lacour|232 rte marjon 69510 SOUCIEU EN JARREST|04 72 31 76 79
459|Audric decock|20 quai charezieux 69270 SAINT ROMAIN AU MONT D'OR|06 61 88 52 29
460|Eurl lefebvre|4 all textile 69120 VAULX EN VELIN|04 72 37 56 90
461|F.m.c alu|21 chem chiradie 69530 BRIGNAIS|04 78 05 17 99
462|Steel metal|111 r marais 38660 LUMBIN|06 95 41 26 16
463|Metal work|Le haut marjon 69510 SOUCIEU EN JARREST|04 72 40 21 44
464|Plasse pmg|15 r roger salengro 69740 GENAS|04 78 20 14 91
465|Cométal serrures|5 imp charvet 38600 FONTAINE|04 76 96 97 28
466|Reseau assistance|17 r jean jaurès 69100 VILLEURBANNE|04 37 66 47 04
467|Rauze ets|Fiatet 69210 SAIN BEL|04 74 01 26 26
468|Reus et fils sarl|195 chem ravat 38200 VIENNE|04 74 87 96 47
469|Serrurerie munoz|57 chem loup 38080 SAINT MARCEL BEL ACCUEIL|04 74 27 66 66
470|Métalliance industrie|12 r léon blum 69320 FEYZIN|04 72 89 04 89
471|2md menuiseries|56 r république 69310 PIERRE BÉNITE|04 78 86 91 68
472|Métal service|10 r iles 38420 DOMÈNE|04 76 77 35 24
473|Lafont raymond|Les quartelees 07340 VINZIEUX|06 25 70 18 31
474|S2mr|10 r marc seguin 69740 GENAS|06 24 21 92 93
475|Cap'depann|Chem sources 38240 MEYLAN|06 63 83 08 48
476|Dastugue bernard|860 rte st pierre 38450 SAINT GEORGES DE COMMIERS|06 46 53 87 70
477|Metalsphere|265 rte huires 73160 SAINT CASSIN|06 51 16 17 18
478|Serrurerie munoz|57 chem loup 38080 SAINT MARCEL BEL ACCUEIL|04 74 27 66 66
479|Reus et fils sarl|195 chem ravat 38200 VIENNE|04 74 87 96 47
480|Sarl ville françois|Messimy 69510 MESSIMY|06 74 70 34 80
481|Ams metallerie|66 r jean moulin 38140 RENAGE|06 42 71 08 69
482|Fontaine serrurerie|84 r progrès 38170 SEYSSINET PARISET|04 76 48 38 85
483|Prod'alu 38|65 chem plateau 38270 BEAUREPAIRE|04 74 84 63 56
484|Bievre depannage serrurerie|16 all roseraie 38690 LE GRAND LEMPS|04 74 33 06 02
485|Delafosse ivan|18 cité roses 38190 VILLARD BONNOT|06 14 33 34 23
486|Les2aa dépannage multiservices sarl|19 r gilibert 69002 LYON|04 78 42 42 42
487|Dépann' tout|4 pré breton têche 38470 VINAY|06 08 23 80 44
488|A2m atelier maintenance métallerie|Rte nationale 6 73800 MONTMÉLIAN|04 79 84 31 66
489|Mse (sarl)|12 r serrières 69540 IRIGNY|06 45 73 22 20
490|Altes services|12 r colibris 38100 GRENOBLE|06 43 35 57 17
491|Serrurerie des monts d'or|15 bis r georges clemenceau 69660 COLLONGES AU MONT D'OR|06 18 30 41 29
492|Thevenon thierry serrurerie t.c.s|50 r république 38440 SAINT JEAN DE BOURNAY|06 75 61 05 69
493|Top depannage|214 bis r 4 août 69100 VILLEURBANNE|04 82 98 70 39
494|Confort et sécurité|40 r bruxelles 69100 VILLEURBANNE|04 72 62 86 98
495|Martin didier|4 imp pastourelle 38230 CHARVIEU CHAVAGNEUX|06 22 04 97 69
496|Adispo serrurier|Montée st marcel 38200 VIENNE|06 29 31 78 35
497|Mdv métallerie du vivarais|Rocher dessus 07270 EMPURANY|06 78 74 23 80
498|Marcel thierry|539 av uriage 38410 VAULNAVEYS LE HAUT|04 76 52 18 50
499|Agc amélioration de l'habitat sarl|421 rte ecoliers 38440 CHÂTONNAY|04 74 58 38 76
500|Métallerie claude rognard|98 av gén leclerc 38540 HEYRIEUX|04 78 96 10 25
501|Buat jean-claude|227 chem pit 38340 VOREPPE|04 76 50 26 74
502|Serrurerie alpes isère|15 av danièle casanova 38130 ECHIROLLES|06 73 86 31 55
503|C prunier|460 rte champfeuillet 38430 MOIRANS|06 24 68 05 12
504|Roux vincent|72 r marseille 26140 SAINT RAMBERT D'ALBON|06 01 63 34 62
505|A2ss serrurerie|49 r denuzière 69002 LYON|06 46 78 64 48
506|Conception métallique hervé|20 r belledonne 38320 EYBENS|06 23 60 76 78
507|Nature 3000|Combe 38160 CHEVRIÈRES|04 76 64 11 73
508|Ben romdhane bouchouicha mohamed|1 bis r arcelle 38600 FONTAINE|04 56 45 86 25
509|Jarez fermeture|136 montée peraya 42800 SAINT ROMAIN EN JAREZ|04 77 20 73 45
510|Servonnat metallerie serrurerie sms|13 r louise michel 69100 VILLEURBANNE|04 78 53 27 24
511|S.f.a.b|18 r louis aulagne 69600 OULLINS|04 78 50 40 40
512|B2m|590 chem regardin 38260 LE MOTTIER|04 74 56 72 62
513|Maigret dominique|14 petite rue collonges 69230 SAINT GENIS LAVAL|06 14 41 57 37
514|S.e.r.d.i sarl|Zone artisanale pichatière 38430 MOIRANS|04 76 35 33 33
515|Mazenet patrice|25 r jean rostang 69680 CHASSIEU|06 15 58 47 69
516|Charriere jean-michel|29 r andré chénier 69330 MEYZIEU|06 71 93 12 65
517|Ag services|21 r cité 38180 SEYSSINS|04 76 21 34 00
518|Euroracks|8 r marcel bramet 69500 BRON|04 78 26 79 71
519|Servonnat metallerie serrurerie sms|13 r louise michel 69100 VILLEURBANNE|04 78 53 27 24
520|Smts|14 r christian lacouture 69500 BRON|06 65 10 18 68
521|Serrurerie plus|1 bis r doct jean paillot 73100 AIX LES BAINS|07 86 86 55 08
522|Amp atelier métallerie pourras|1 r artisanat 69670 VAUGNERAY|06 68 47 08 36
523|Sdi (serrurerie dépannage industriel)|11 imp yette 38150 ROUSSILLON|07 60 22 62 14
524|Métallerie claude rognard|98 av gén leclerc 38540 HEYRIEUX|04 78 96 10 25
525|Mikmetal|296 chem verchere 38290 FRONTONAS|06 22 99 05 76
526|Top tube industrie|Zi dauphinieres 38138 LES CÔTES D'AREY|04 74 58 80 73
527|Romain chastand|15 r scierie 38070 SAINT QUENTIN FALLAVIER|07 86 24 42 07
528|Sos dépannage|16 r mail 69004 LYON|04 78 29 29 29
529|Moreno|2 r marc seguin 69740 GENAS|04 72 02 06 80
530|Boyer et casset serrurerie|46 r henri moissan 69310 PIERRE BÉNITE|04 78 51 47 69
531|Bl dépann'|44 av victor hugo 69160 TASSIN LA DEMI LUNE|04 72 59 01 38
532|Serrurerie des 2 murs|11 r georges polossat 69720 SAINT LAURENT DE MURE|06 04 44 67 33
533|Ben romdhane bouchouicha mohamed|1 bis r arcelle 38600 FONTAINE|04 56 45 86 25
534|Toumeto|2 chem gorges 38470 COGNIN LES GORGES|06 24 86 16 59
535|A2ss serrurerie|49 r denuzière 69002 LYON|06 46 78 64 48
536|Métallerie sud est|R victor duplessis 38290 LA VERPILLIÈRE|04 74 95 31 69
537|Serrurerie alpes isère|15 av danièle casanova 38130 ECHIROLLES|06 73 86 31 55
538|Côte alain|315 rte lapeyrouse 26210 MANTHES|04 75 31 92 05
539|Abf plomberie|Rte nationale 7 26600 LA ROCHE DE GLUN|06 21 09 32 60
540|Sf metal|50 r ernest renan 69120 VAULX EN VELIN|06 16 74 79 18
541|La clé|91 av benoît frachon 38400 SAINT MARTIN D'HÈRES|04 76 42 48 62
542|Ouverture assistance|69 bd lénine 69200 VÉNISSIEUX|06 24 96 91 79
543|Abc academia fermeture|52 r inkermann 69006 LYON|06 19 78 53 72
544|Artidep|37 r doct françois cassetti 69290 GRÉZIEU LA VARENNE|06 62 39 69 69
545|Stp|90 r vercors 38260 PAJAY|04 74 20 65 29
546|Lasné|493 chem st anthelme 38380 MIRIBEL LES ECHELLES|06 86 14 10 77
547|Entreprise v.m.s.|86 montée crépons 42410 LA CHAPELLE VILLARS|06 71 46 70 30
548|A . i . f creations|102 r fleury jay 69520 GRIGNY|04 72 30 84 98
549|Dediclef|1 r albert thomas 69300 CALUIRE ET CUIRE|06 60 76 81 61
550|Rolland gilles|84 rte villeneuve de marc 38440 MEYSSIEZ|06 07 76 72 80
551|Bss bouchara serrurerie service|12 r orléans 69330 MEYZIEU|06 09 82 53 61
552|Ap2m|29 r martyrs 69230 SAINT GENIS LAVAL|04 27 89 95 61
553|Descombris bertrand|7 r renée peillon 42400 SAINT CHAMOND|06 08 42 75 32
554|Serurerie metallerie conce|R narvik 38550 SAINT MAURICE L'EXIL|09 67 83 69 13
555|Bievre depannage serrurerie|16 all roseraie 38690 LE GRAND LEMPS|04 74 33 06 02
556|Laforge hervé|24 r alpignano 38600 FONTAINE|04 76 53 20 71
557|Atelier des garelles|87 rte lyon 69690 BESSENAY|09 54 32 12 43
558|Abc academia fermeture|52 r inkermann 69006 LYON|06 19 78 53 72
559|Chardard patrick|18 av val de saône 69580 SATHONAY CAMP|06 03 51 24 19
560|M2b|La ronze 69440 TALUYERS|04 78 48 20 07
561|Ambiance métal|Rte six vallées 38220 GAVET|06 79 82 25 52
562|Serrurerie doriath|2 r chardonnerets 69780 MIONS|07 77 39 76 71
563|Bourjal|260 r eglise 38730 CHÉLIEU|04 37 06 37 23
564|Ox idee sarl|200 r barthélémy thimonnier 69530 BRIGNAIS|06 67 46 61 94
565|Tournier philippe|La plaine 38160 CHEVRIÈRES|04 76 64 25 63
566|Clerc-renaud|9 r talma 73100 AIX LES BAINS|09 66 12 23 77
567|A . i . f creations|102 r fleury jay 69520 GRIGNY|04 72 30 84 98
568|Marchand andré|15 r barodet 69004 LYON|04 78 28 71 46
569|A2tc|224 che saluant 38370 SAINT PRIM|04 74 79 87 58
570|Serrurerie des 2 murs|11 r georges polossat 69720 SAINT LAURENT DE MURE|06 04 44 67 33
571|Es2m|41 r paul michal 38590 SILLANS|04 76 93 87 61
572|Electro fer|28 r louis saillant 69120 VAULX EN VELIN|06 87 29 04 05
573|Serrurerie coudeyre|28 r maurice dubost 69420 CONDRIEU|06 11 28 61 85
574|Adispo serrurier|Montée st marcel 38200 VIENNE|06 29 31 78 35
575|Eric serrurerie|42 av plaine fleurie 38240 MEYLAN|04 76 24 03 89
576|Serrurerie systeme|163 chem botet 38330 BIVIERS|06 08 16 99 73
577|Rolland gilles|84 rte villeneuve de marc 38440 MEYSSIEZ|06 07 76 72 80
578|Descombris bertrand|7 r renée peillon 42400 SAINT CHAMOND|06 08 42 75 32
579|11 industrie|6 av doct schweitzer 69330 MEYZIEU|06 14 98 78 19
580|A2ss serrurerie|49 r denuzière 69002 LYON|06 46 78 64 48
581|Oderio jimmy|28 r jean moulin 38130 ECHIROLLES|06 76 09 35 07
582|Brindas métal sarl|96 r pré magne 69126 BRINDAS|04 78 45 40 04
583|A2tc|224 che saluant 38370 SAINT PRIM|06 85 20 45 97
584|Ferplait|Lieu-dit gonnards 73100 SAINT OFFENGE|06 47 80 84 33
585|Protiere et cie|24 r marseille 69007 LYON|06 12 25 23 48
586|Travaux et polyvalence sarl|181 chem vignerons 38290 LA VERPILLIÈRE|04 74 94 30 14
587|Gones services|65 r 4 août 69100 VILLEURBANNE|04 78 90 47 35
588|Allo lyon dépannage|17 bis av chantelot 69520 GRIGNY|04 72 24 51 48
589|Thevenon thierry serrurerie t.c.s|50 r république 38440 SAINT JEAN DE BOURNAY|06 75 61 05 69
590|S.f metallerie concept|Zone d'activité de verlieu 42410 CHAVANAY|04 74 20 52 97
591|Métallerie béraud|170 chem vignes 07290 SAINT ROMAIN D'AY|07 86 25 54 66
592|Chardard patrick|18 av val de saône 69580 SATHONAY CAMP|06 03 51 24 19
593|Oderio jimmy|28 r jean moulin 38130 ECHIROLLES|06 76 09 35 07
594|Allo serrurier|8 r vladimir komarov 69200 VÉNISSIEUX|06 08 42 30 36
595|Missions serrurerie|24 chem charrière blanche 69130 ECULLY|04 72 54 47 69
596|Ranc sarl|247 rte genas 69100 VILLEURBANNE|04 78 54 23 47
597|Sc aci|8 all etienne buyat 69150 DÉCINES CHARPIEU|06 19 63 10 81
598|Métral lilian|72 all sud 38270 JARCIEU|04 74 57 27 19
599|Grésimétal|11 r paul vaillant couturier 38190 FROGES|04 76 97 75 82
600|Boyer et casset serrurerie|46 r henri moissan 69310 PIERRE BÉNITE|04 78 51 47 69
601|Chareyron et fils|6 av doct schweitzer 69330 MEYZIEU|04 72 02 72 96
602|Mazenet patrice|25 r jean rostang 69680 CHASSIEU|06 15 58 47 69
603|E.r.s|76 av vercors 38170 SEYSSINET PARISET|04 76 84 99 08
604|Service rhônes-alpes|72 cours république 69100 VILLEURBANNE|04 78 03 19 76
605|A.l..j serrurerie métallerie|Chem freyssinet 69700 GIVORS|06 86 84 67 98
606|Coffre plus securite sas|5 av alpes 38300 BOURGOIN JALLIEU|09 63 65 89 73
607|Métal cg|14 bis r claude curtat 69330 MEYZIEU|09 81 80 94 97
608|Mts|2 r emile zola 69330 MEYZIEU|04 78 89 47 41
609|Interface serrurerie|5 r alfred gueymard 38400 SAINT MARTIN D'HÈRES|06 28 07 65 80
610|Fermetures protections lyonnaises|3 all cèdres 69100 VILLEURBANNE|04 72 14 09 94
611|Cp métal|310 imp ronzates 07340 TALENCIEUX|06 75 39 29 41
612|Adispo serrurier|Montée st marcel 38200 VIENNE|06 29 31 78 35
613|Gones services|65 r 4 août 69100 VILLEURBANNE|04 78 90 47 35
614|Grésimétal|11 r paul vaillant couturier 38190 FROGES|04 76 97 75 82
615|Dfoa commandeur|725 bis rte viretard 26260 CLÉRIEUX|04 75 71 56 46
616|Chapelle olivier|Lieu-dit seyoux 42800 SAINTE CROIX EN JAREZ|06 83 53 40 26
617|Defond laurent|2 chem epinette 69270 FONTAINES SAINT MARTIN|04 78 22 40 23
618|Durieu rene|R laverlochère 38780 PONT EVÊQUE|04 74 85 99 05
619|Ox-idee|108 r barthélémy thimonnier 69530 BRIGNAIS|06 67 46 61 94
620|Home securite universel|1947 rte plan 38200 LUZINAY|04 74 57 00 46
621|Chardard patrick|18 av val de saône 69580 SATHONAY CAMP|06 03 51 24 19
622|Batiroc protect entr serrurerie coffrage metal chaudro|149 chem platières 38670 CHASSE SUR RHÔNE|04 78 07 01 19
623|Créastill|3 quart bruyères 38230 CHAVANOZ|04 78 32 19 11
624|Est|364 r 4 chemins 69390 MILLERY|04 72 31 04 33
625|Mdv métallerie du vivarais|Rocher dessus 07270 EMPURANY|06 78 74 23 80
626|B&b services dépannage|39 r francis de pressensé 69100 VILLEURBANNE|04 28 29 62 80
627|Ranc sarl|247 rte genas 69100 VILLEURBANNE|04 78 54 23 47
628|M.s.t.i.|Chem anvers 69850 DUERNE|04 78 19 12 47
629|Stephan pierre|10 r pré du sud 69330 JONAGE|06 46 49 70 65
630|Ag services|21 r cité 38180 SEYSSINS|04 76 21 34 00
631|Alpha service|10 r gallice 38100 GRENOBLE|06 80 97 70 46
632|Chareyron et fils|6 av doct schweitzer 69330 MEYZIEU|04 72 02 72 96
633|Atelier des artisans associés spécialisé|61 r marx dormoy 38000 GRENOBLE|04 76 96 12 52
634|Ets serrano|22 bd lucien sampaix 69190 SAINT FONS|04 78 67 41 69
635|Pisios baptiste|Les adrets 38190 LES ADRETS|06 25 80 61 26
636|S.e.r.d.i sarl|Zone artisanale pichatière 38430 MOIRANS|04 76 35 33 33
637|Bayard maintenance industrielle|14 all mine 38190 VILLARD BONNOT|04 76 71 60 37
